bedrooms,avg_price,avg_sqft,count
7,658750.53125,3478.125,32
3,451317.28916529607,1788.3636924342106,9728
0,409503.8461538461,1707.8461538461538,13
5,645586.0315068493,2868.177397260274,1460
6,647744.4072580645,3068.189516129032,248
1,317642.88442211057,884.6130653266332,199
bedrooms,,,1
4,582038.8421370359,2486.7514337458497,6626
2,397917.06681190996,1233.837327523602,2754
